time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-04 00:00:00+00:00,0,0,7,2
2022-07-05 00:00:00+00:00,0,0,1,1
2022-07-07 00:00:00+00:00,0,0,2,2
2022-07-10 00:00:00+00:00,3,2,30,5
2022-07-11 00:00:00+00:00,8,6,35,2
2022-07-12 00:00:00+00:00,0,0,26,3
2022-07-13 00:00:00+00:00,6,2,76,4
2022-07-14 00:00:00+00:00,1,1,5,1
2022-07-15 00:00:00+00:00,0,0,1,1
2022-07-16 00:00:00+00:00,0,0,1,1
2022-07-23 00:00:00+00:00,1,1,0,0
2022-07-24 00:00:00+00:00,0,0,11,2
2022-07-25 00:00:00+00:00,0,0,15,2
2022-07-26 00:00:00+00:00,0,0,8,1
2022-07-27 00:00:00+00:00,0,0,6,2
2022-07-28 00:00:00+00:00,1,1,0,0
2022-07-31 00:00:00+00:00,2,1,1,1
2022-08-01 00:00:00+00:00,1,1,0,0
2022-08-02 00:00:00+00:00,1,1,9,1
2022-08-03 00:00:00+00:00,1,1,5,1
2022-08-05 00:00:00+00:00,0,0,5,1
2022-08-06 00:00:00+00:00,0,0,3,1
