time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-14 00:00:00+00:00,,,13,2
2023-01-15 00:00:00+00:00,,,76,5
2023-01-16 00:00:00+00:00,,,58,14
2023-01-17 00:00:00+00:00,,,45,8
2023-01-18 00:00:00+00:00,,,14,6
2023-01-19 00:00:00+00:00,,,24,7
2023-01-20 00:00:00+00:00,,,12,3
2023-01-21 00:00:00+00:00,,,12,3
2023-01-22 00:00:00+00:00,,,22,5
2023-01-23 00:00:00+00:00,,,11,5
2023-01-24 00:00:00+00:00,1.0,1.0,86,10
2023-01-25 00:00:00+00:00,,,30,11
2023-01-26 00:00:00+00:00,,,168,17
