time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-30 00:00:00+00:00,0,0,93,1
2022-07-01 00:00:00+00:00,0,0,92,3
2022-07-02 00:00:00+00:00,6,3,26,4
2022-07-03 00:00:00+00:00,0,0,78,4
2022-07-04 00:00:00+00:00,2,1,106,6
2022-07-05 00:00:00+00:00,0,0,37,4
2022-07-06 00:00:00+00:00,1,1,0,0
2022-07-07 00:00:00+00:00,0,0,3,1
2022-07-08 00:00:00+00:00,0,0,2,1
2022-07-09 00:00:00+00:00,0,0,1,1
2022-07-15 00:00:00+00:00,0,0,6,1
2022-07-22 00:00:00+00:00,1,1,0,0
2022-07-24 00:00:00+00:00,0,0,3,1
2022-07-25 00:00:00+00:00,1,1,0,0
2022-08-05 00:00:00+00:00,0,0,6,1
2022-08-08 00:00:00+00:00,0,0,5,2
2022-08-09 00:00:00+00:00,0,0,1,1
2022-08-11 00:00:00+00:00,3,2,6,2
2022-08-17 00:00:00+00:00,0,0,13,1
2022-08-20 00:00:00+00:00,1,1,0,0
2022-08-22 00:00:00+00:00,0,0,2,1
2022-08-23 00:00:00+00:00,4,3,28,2
2022-08-24 00:00:00+00:00,0,0,2,2
2022-08-25 00:00:00+00:00,0,0,3,2
2022-08-26 00:00:00+00:00,0,0,15,3
2022-08-27 00:00:00+00:00,0,0,8,2
2022-08-28 00:00:00+00:00,0,0,10,4
2022-08-29 00:00:00+00:00,0,0,14,3
2022-08-30 00:00:00+00:00,4,3,30,2
2022-08-31 00:00:00+00:00,0,0,14,4
2022-09-04 00:00:00+00:00,0,0,2,2
2022-09-10 00:00:00+00:00,0,0,1,1
2022-09-11 00:00:00+00:00,0,0,13,3
2022-09-12 00:00:00+00:00,0,0,15,5
2022-09-13 00:00:00+00:00,0,0,55,5
2022-09-14 00:00:00+00:00,0,0,38,2
2022-09-20 00:00:00+00:00,0,0,1,1
2022-09-23 00:00:00+00:00,1,1,0,0
2022-09-29 00:00:00+00:00,0,0,10,1
2022-10-05 00:00:00+00:00,0,0,1,1
2022-10-10 00:00:00+00:00,0,0,1,1
2022-10-15 00:00:00+00:00,1,1,0,0
2022-10-21 00:00:00+00:00,0,0,8,3
2022-10-22 00:00:00+00:00,0,0,44,10
2022-10-23 00:00:00+00:00,0,0,17,5
2022-10-24 00:00:00+00:00,0,0,3,2
2022-10-25 00:00:00+00:00,1,1,14,2
2022-10-26 00:00:00+00:00,0,0,10,3
2022-10-27 00:00:00+00:00,0,0,5,1
2022-10-29 00:00:00+00:00,0,0,9,3
2022-10-30 00:00:00+00:00,0,0,12,1
2022-11-02 00:00:00+00:00,0,0,9,1
2022-11-03 00:00:00+00:00,0,0,3,1
2022-11-04 00:00:00+00:00,0,0,1,1
2022-11-06 00:00:00+00:00,0,0,38,9
2022-11-07 00:00:00+00:00,0,0,16,3
2022-11-08 00:00:00+00:00,0,0,13,2
2022-11-09 00:00:00+00:00,2,2,7,2
2022-11-10 00:00:00+00:00,0,0,5,1
2022-11-11 00:00:00+00:00,0,0,1,1
2022-11-12 00:00:00+00:00,0,0,6,2
2022-11-13 00:00:00+00:00,0,0,15,3
2022-11-14 00:00:00+00:00,0,0,34,7
2022-11-17 00:00:00+00:00,0,0,2,1
2022-11-18 00:00:00+00:00,0,0,9,2
2022-11-19 00:00:00+00:00,0,0,1,1
2022-11-21 00:00:00+00:00,0,0,4,1
2022-11-23 00:00:00+00:00,0,0,12,3
2022-11-24 00:00:00+00:00,0,0,7,1
2022-11-25 00:00:00+00:00,0,0,6,2
2022-11-26 00:00:00+00:00,0,0,1,1
2022-11-27 00:00:00+00:00,0,0,6,2
2022-11-28 00:00:00+00:00,0,0,13,2
2022-11-29 00:00:00+00:00,0,0,5,3
2022-11-30 00:00:00+00:00,0,0,8,1
2022-12-01 00:00:00+00:00,1,1,0,0
2022-12-02 00:00:00+00:00,0,0,16,1
2022-12-03 00:00:00+00:00,0,0,17,2
2022-12-06 00:00:00+00:00,2,1,6,2
2022-12-07 00:00:00+00:00,4,2,6,1
2022-12-11 00:00:00+00:00,0,0,5,1
2022-12-12 00:00:00+00:00,0,0,7,1
2022-12-13 00:00:00+00:00,0,0,1,1
2022-12-14 00:00:00+00:00,0,0,11,3
2022-12-15 00:00:00+00:00,0,0,3,1
2022-12-17 00:00:00+00:00,0,0,6,2
2022-12-18 00:00:00+00:00,0,0,19,4
2022-12-19 00:00:00+00:00,1,1,4,1
2022-12-20 00:00:00+00:00,0,0,3,1
2022-12-21 00:00:00+00:00,0,0,2,1
2022-12-23 00:00:00+00:00,0,0,6,1
2022-12-25 00:00:00+00:00,0,0,13,1
2022-12-26 00:00:00+00:00,0,0,20,2
2022-12-27 00:00:00+00:00,0,0,19,2
2022-12-28 00:00:00+00:00,0,0,6,2
2022-12-29 00:00:00+00:00,0,0,63,5
2022-12-30 00:00:00+00:00,0,0,15,3
2023-01-01 00:00:00+00:00,1,1,7,1
2023-01-03 00:00:00+00:00,2,1,9,1
2023-01-04 00:00:00+00:00,1,1,0,0
2023-01-06 00:00:00+00:00,0,0,79,9
2023-01-07 00:00:00+00:00,0,0,6,2
2023-01-08 00:00:00+00:00,0,0,79,5
2023-01-09 00:00:00+00:00,0,0,43,7
2023-01-10 00:00:00+00:00,0,0,16,2
2023-01-11 00:00:00+00:00,0,0,75,13
2023-01-12 00:00:00+00:00,0,0,59,10
2023-01-14 00:00:00+00:00,0,0,13,2
2023-01-15 00:00:00+00:00,0,0,76,5
2023-01-16 00:00:00+00:00,0,0,58,14
2023-01-17 00:00:00+00:00,0,0,45,8
2023-01-18 00:00:00+00:00,0,0,14,6
2023-01-19 00:00:00+00:00,0,0,24,7
2023-01-20 00:00:00+00:00,0,0,12,3
