time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-02 00:00:00+00:00,0,0,3,1
2022-07-04 00:00:00+00:00,0,0,4,3
2022-07-05 00:00:00+00:00,2,1,34,2
2022-07-06 00:00:00+00:00,1,1,0,0
2022-07-07 00:00:00+00:00,4,1,15,3
2022-07-08 00:00:00+00:00,0,0,14,2
2022-07-09 00:00:00+00:00,0,0,1,1
2022-07-12 00:00:00+00:00,0,0,9,1
2022-07-13 00:00:00+00:00,0,0,1,1
2022-07-14 00:00:00+00:00,0,0,6,1
2022-07-15 00:00:00+00:00,0,0,4,1
2022-07-16 00:00:00+00:00,0,0,19,4
2022-07-17 00:00:00+00:00,0,0,17,2
2022-07-18 00:00:00+00:00,0,0,14,2
2022-07-19 00:00:00+00:00,0,0,12,1
2022-07-21 00:00:00+00:00,1,1,0,0
2022-07-23 00:00:00+00:00,0,0,3,2
2022-07-24 00:00:00+00:00,0,0,5,2
2022-07-26 00:00:00+00:00,0,0,1,1
2022-07-27 00:00:00+00:00,3,2,4,1
2022-07-28 00:00:00+00:00,0,0,2,1
2022-08-01 00:00:00+00:00,0,0,8,1
2022-08-02 00:00:00+00:00,1,1,0,0
2022-08-03 00:00:00+00:00,1,1,0,0
2022-08-11 00:00:00+00:00,0,0,1,1
2022-08-22 00:00:00+00:00,0,0,4,1
2022-08-23 00:00:00+00:00,0,0,5,2
2022-08-24 00:00:00+00:00,0,0,4,1
2022-08-27 00:00:00+00:00,0,0,6,1
2022-09-02 00:00:00+00:00,0,0,7,1
2022-09-03 00:00:00+00:00,0,0,7,1
2022-09-04 00:00:00+00:00,0,0,4,1
2022-09-05 00:00:00+00:00,0,0,4,1
2022-09-08 00:00:00+00:00,0,0,15,2
2022-09-14 00:00:00+00:00,0,0,2,1
2022-09-15 00:00:00+00:00,0,0,5,1
2022-09-25 00:00:00+00:00,1,1,0,0
2022-09-29 00:00:00+00:00,0,0,6,1
2022-10-06 00:00:00+00:00,0,0,17,1
2022-10-15 00:00:00+00:00,1,1,0,0
2022-10-19 00:00:00+00:00,0,0,1,1
2022-10-21 00:00:00+00:00,2,2,1,1
2022-11-03 00:00:00+00:00,0,0,5,2
2022-12-04 00:00:00+00:00,1,1,0,0
2022-12-07 00:00:00+00:00,4,2,0,0
2022-12-16 00:00:00+00:00,0,0,1,1
2022-12-28 00:00:00+00:00,1,1,0,0
2023-01-03 00:00:00+00:00,2,1,0,0
2023-01-04 00:00:00+00:00,4,2,0,0
2023-01-05 00:00:00+00:00,2,1,0,0
2023-01-06 00:00:00+00:00,2,1,0,0
2023-01-08 00:00:00+00:00,0,0,2,1
2023-01-10 00:00:00+00:00,0,0,4,1
2023-01-23 00:00:00+00:00,0,0,4,1
