time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-30 00:00:00+00:00,0,0,1,1
2022-07-08 00:00:00+00:00,0,0,1,1
2022-07-16 00:00:00+00:00,0,0,2,1
2022-07-17 00:00:00+00:00,0,0,3,1
2022-07-21 00:00:00+00:00,0,0,1,1
2022-07-23 00:00:00+00:00,1,1,0,0
2022-07-24 00:00:00+00:00,0,0,3,1
2022-08-03 00:00:00+00:00,0,0,4,1
2022-08-11 00:00:00+00:00,0,0,1,1
2022-08-23 00:00:00+00:00,0,0,1,1
2022-08-25 00:00:00+00:00,0,0,1,1
2022-08-28 00:00:00+00:00,0,0,2,1
2022-08-29 00:00:00+00:00,0,0,11,1
2022-09-07 00:00:00+00:00,0,0,2,1
2022-09-12 00:00:00+00:00,0,0,1,1
