time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-30 00:00:00+00:00,1,1,1,1
2022-08-03 00:00:00+00:00,1,1,0,0
2022-08-11 00:00:00+00:00,0,0,1,1
2022-08-19 00:00:00+00:00,0,0,1,1
2022-09-02 00:00:00+00:00,0,0,3,1
2022-09-09 00:00:00+00:00,0,0,1,1
2022-09-14 00:00:00+00:00,0,0,4,1
2022-09-15 00:00:00+00:00,0,0,9,1
2022-09-16 00:00:00+00:00,0,0,1,1
2022-09-19 00:00:00+00:00,0,0,1,1
2022-09-29 00:00:00+00:00,0,0,2,1
2022-10-06 00:00:00+00:00,0,0,1,1
2022-10-15 00:00:00+00:00,1,1,0,0
2022-10-21 00:00:00+00:00,1,1,0,0
2022-11-14 00:00:00+00:00,0,0,1,1
2022-12-07 00:00:00+00:00,2,1,0,0
2022-12-11 00:00:00+00:00,1,1,0,0
2022-12-25 00:00:00+00:00,0,0,1,1
2022-12-29 00:00:00+00:00,1,1,0,0
2023-01-04 00:00:00+00:00,2,1,0,0
2023-01-08 00:00:00+00:00,0,0,4,1
