time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-31 00:00:00+00:00,,,16,6
2022-09-01 00:00:00+00:00,,,17,5
2022-09-02 00:00:00+00:00,,,55,9
2022-09-03 00:00:00+00:00,,,25,5
2022-09-04 00:00:00+00:00,,,49,6
2022-09-05 00:00:00+00:00,,,151,11
2022-09-06 00:00:00+00:00,,,58,6
2022-09-07 00:00:00+00:00,,,99,11
2022-09-08 00:00:00+00:00,,,99,11
2022-09-09 00:00:00+00:00,,,175,12
2022-09-10 00:00:00+00:00,,,339,17
2022-09-11 00:00:00+00:00,,,568,29
2022-09-12 00:00:00+00:00,,,242,30
2022-09-13 00:00:00+00:00,,,19,5
