time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-30 00:00:00+00:00,0,0,547,44
2022-07-01 00:00:00+00:00,0,0,1328,67
2022-07-02 00:00:00+00:00,0,0,1832,80
2022-07-03 00:00:00+00:00,0,0,2880,92
2022-07-04 00:00:00+00:00,0,0,1593,102
2022-07-05 00:00:00+00:00,0,0,31,13
2022-07-06 00:00:00+00:00,0,0,27,7
2022-07-07 00:00:00+00:00,1,1,10,3
2022-07-08 00:00:00+00:00,0,0,76,16
2022-07-09 00:00:00+00:00,0,0,28,12
2022-07-10 00:00:00+00:00,0,0,20,8
2022-07-11 00:00:00+00:00,0,0,47,11
2022-07-12 00:00:00+00:00,0,0,12,6
2022-07-13 00:00:00+00:00,2,1,27,8
2022-07-14 00:00:00+00:00,2,1,2,2
2022-07-15 00:00:00+00:00,1,1,4,2
2022-07-16 00:00:00+00:00,0,0,1,1
2022-07-17 00:00:00+00:00,0,0,4,4
2022-07-18 00:00:00+00:00,0,0,2,2
2022-07-19 00:00:00+00:00,0,0,1,1
2022-07-20 00:00:00+00:00,0,0,1,1
2022-07-21 00:00:00+00:00,2,2,52,3
2022-07-22 00:00:00+00:00,0,0,31,2
2022-07-23 00:00:00+00:00,0,0,29,1
2022-07-24 00:00:00+00:00,0,0,2,1
2022-07-25 00:00:00+00:00,0,0,22,5
2022-07-26 00:00:00+00:00,0,0,5,3
2022-07-27 00:00:00+00:00,0,0,15,3
2022-07-28 00:00:00+00:00,0,0,21,6
2022-07-29 00:00:00+00:00,0,0,3,3
2022-07-30 00:00:00+00:00,0,0,14,4
2022-07-31 00:00:00+00:00,0,0,3,1
2022-08-01 00:00:00+00:00,0,0,10,5
2022-08-02 00:00:00+00:00,1,1,23,4
2022-08-03 00:00:00+00:00,0,0,17,6
2022-08-04 00:00:00+00:00,0,0,1,1
2022-08-05 00:00:00+00:00,0,0,12,2
2022-08-06 00:00:00+00:00,0,0,36,4
2022-08-07 00:00:00+00:00,0,0,93,9
2022-08-08 00:00:00+00:00,0,0,69,9
2022-08-09 00:00:00+00:00,0,0,41,10
2022-08-10 00:00:00+00:00,1,1,50,10
2022-08-11 00:00:00+00:00,0,0,80,12
2022-08-12 00:00:00+00:00,0,0,102,8
2022-08-13 00:00:00+00:00,0,0,82,9
2022-08-14 00:00:00+00:00,1,1,84,10
2022-08-15 00:00:00+00:00,0,0,107,14
2022-08-16 00:00:00+00:00,0,0,142,12
2022-08-17 00:00:00+00:00,0,0,97,14
2022-08-18 00:00:00+00:00,0,0,164,10
2022-08-19 00:00:00+00:00,0,0,131,11
2022-08-20 00:00:00+00:00,1,1,158,18
2022-08-21 00:00:00+00:00,0,0,149,20
2022-08-22 00:00:00+00:00,1,1,158,20
2022-08-23 00:00:00+00:00,1,1,234,18
2022-08-24 00:00:00+00:00,0,0,349,21
2022-08-25 00:00:00+00:00,0,0,314,22
2022-08-26 00:00:00+00:00,0,0,326,14
2022-08-27 00:00:00+00:00,0,0,409,19
2022-08-28 00:00:00+00:00,1,1,751,27
2022-08-29 00:00:00+00:00,0,0,417,43
2022-08-30 00:00:00+00:00,0,0,38,9
2022-08-31 00:00:00+00:00,0,0,16,6
2022-09-01 00:00:00+00:00,0,0,17,5
2022-09-02 00:00:00+00:00,0,0,55,9
2022-09-03 00:00:00+00:00,0,0,25,5
2022-09-04 00:00:00+00:00,0,0,49,6
2022-09-05 00:00:00+00:00,0,0,151,11
2022-09-06 00:00:00+00:00,0,0,58,6
2022-09-07 00:00:00+00:00,0,0,99,11
2022-09-08 00:00:00+00:00,0,0,99,11
2022-09-09 00:00:00+00:00,0,0,175,12
2022-09-10 00:00:00+00:00,0,0,339,17
2022-09-11 00:00:00+00:00,0,0,568,29
2022-09-12 00:00:00+00:00,0,0,242,30
2022-09-13 00:00:00+00:00,0,0,19,5
2022-09-14 00:00:00+00:00,0,0,10,5
2022-09-15 00:00:00+00:00,0,0,23,3
2022-09-16 00:00:00+00:00,0,0,18,7
2022-09-17 00:00:00+00:00,0,0,4,3
2022-09-18 00:00:00+00:00,0,0,5,2
2022-09-19 00:00:00+00:00,0,0,4,3
2022-09-20 00:00:00+00:00,0,0,8,3
2022-09-21 00:00:00+00:00,0,0,6,2
2022-09-22 00:00:00+00:00,1,1,16,3
2022-09-23 00:00:00+00:00,0,0,17,2
2022-09-24 00:00:00+00:00,0,0,15,3
2022-09-25 00:00:00+00:00,0,0,7,1
2022-09-26 00:00:00+00:00,0,0,13,3
2022-09-27 00:00:00+00:00,0,0,1,1
2022-09-28 00:00:00+00:00,0,0,8,3
2022-09-29 00:00:00+00:00,0,0,9,2
2022-09-30 00:00:00+00:00,0,0,14,4
2022-10-01 00:00:00+00:00,0,0,6,2
2022-10-02 00:00:00+00:00,0,0,14,1
2022-10-03 00:00:00+00:00,0,0,12,4
2022-10-04 00:00:00+00:00,0,0,38,12
2022-10-05 00:00:00+00:00,0,0,49,9
2022-10-06 00:00:00+00:00,0,0,104,36
2022-10-07 00:00:00+00:00,0,0,39,8
2022-10-08 00:00:00+00:00,2,2,7,2
2022-10-09 00:00:00+00:00,0,0,4,2
