time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-30 00:00:00+00:00,0,0,20,4
2022-07-01 00:00:00+00:00,0,0,41,8
2022-07-02 00:00:00+00:00,0,0,58,7
2022-07-03 00:00:00+00:00,0,0,38,9
2022-07-04 00:00:00+00:00,0,0,46,12
2022-07-05 00:00:00+00:00,0,0,193,10
2022-07-06 00:00:00+00:00,0,0,106,9
2022-07-07 00:00:00+00:00,0,0,31,6
2022-07-08 00:00:00+00:00,6,5,46,5
2022-07-09 00:00:00+00:00,0,0,14,2
2022-07-10 00:00:00+00:00,0,0,26,8
2022-07-11 00:00:00+00:00,0,0,55,8
2022-07-12 00:00:00+00:00,0,0,57,11
2022-07-13 00:00:00+00:00,37,7,50,15
2022-07-14 00:00:00+00:00,0,0,9,5
