time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-11 00:00:00+00:00,,,19,4
2023-02-12 00:00:00+00:00,,,63,8
2023-02-13 00:00:00+00:00,,,17,6
2023-02-14 00:00:00+00:00,,,60,6
2023-02-15 00:00:00+00:00,1.0,1.0,25,7
2023-02-16 00:00:00+00:00,,,50,12
2023-02-17 00:00:00+00:00,,,52,6
2023-02-18 00:00:00+00:00,,,224,13
2023-02-19 00:00:00+00:00,,,49,10
2023-02-20 00:00:00+00:00,,,86,8
2023-02-21 00:00:00+00:00,,,13,4
2023-02-22 00:00:00+00:00,,,2,1
2023-02-23 00:00:00+00:00,,,6,3
