time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-30 00:00:00+00:00,0,0,16,2
2022-07-01 00:00:00+00:00,0,0,4,2
2022-07-02 00:00:00+00:00,0,0,43,2
2022-07-03 00:00:00+00:00,0,0,61,2
2022-07-04 00:00:00+00:00,0,0,113,5
2022-07-05 00:00:00+00:00,0,0,36,4
2022-07-06 00:00:00+00:00,1,1,173,5
2022-07-07 00:00:00+00:00,0,0,165,8
2022-07-08 00:00:00+00:00,0,0,99,9
2022-07-10 00:00:00+00:00,3,2,0,0
2022-07-11 00:00:00+00:00,0,0,1,1
2022-07-12 00:00:00+00:00,0,0,1,1
2022-07-13 00:00:00+00:00,0,0,1,1
2022-07-15 00:00:00+00:00,0,0,17,2
2022-07-23 00:00:00+00:00,1,1,0,0
2022-07-27 00:00:00+00:00,1,1,3,2
2022-07-28 00:00:00+00:00,0,0,3,1
2022-07-30 00:00:00+00:00,1,1,0,0
2022-07-31 00:00:00+00:00,2,1,1,1
2022-08-01 00:00:00+00:00,1,1,0,0
2022-08-03 00:00:00+00:00,0,0,1,1
2022-08-05 00:00:00+00:00,1,1,0,0
2022-08-06 00:00:00+00:00,0,0,9,2
2022-08-08 00:00:00+00:00,0,0,13,1
2022-08-09 00:00:00+00:00,0,0,7,1
2022-08-11 00:00:00+00:00,0,0,1,1
2022-08-12 00:00:00+00:00,0,0,21,2
2022-08-13 00:00:00+00:00,0,0,5,1
2022-08-16 00:00:00+00:00,0,0,1,1
2022-08-18 00:00:00+00:00,1,1,5,2
2022-08-19 00:00:00+00:00,0,0,11,1
2022-08-20 00:00:00+00:00,0,0,91,2
2022-08-21 00:00:00+00:00,0,0,16,2
2022-08-22 00:00:00+00:00,0,0,4,1
2022-08-23 00:00:00+00:00,0,0,3,1
2022-08-24 00:00:00+00:00,1,1,22,2
2022-08-25 00:00:00+00:00,0,0,1,1
2022-08-27 00:00:00+00:00,0,0,68,4
2022-08-28 00:00:00+00:00,1,1,91,4
2022-08-29 00:00:00+00:00,5,4,58,3
2022-08-30 00:00:00+00:00,0,0,2,1
2022-08-31 00:00:00+00:00,0,0,106,5
2022-09-01 00:00:00+00:00,0,0,86,4
2022-09-02 00:00:00+00:00,0,0,44,3
2022-09-03 00:00:00+00:00,0,0,2,2
2022-09-05 00:00:00+00:00,0,0,6,2
2022-09-07 00:00:00+00:00,0,0,2,1
2022-09-08 00:00:00+00:00,0,0,24,2
2022-09-09 00:00:00+00:00,0,0,13,1
2022-09-10 00:00:00+00:00,0,0,78,1
2022-09-11 00:00:00+00:00,7,5,41,2
2022-09-12 00:00:00+00:00,0,0,15,2
2022-09-13 00:00:00+00:00,0,0,63,4
2022-09-14 00:00:00+00:00,0,0,53,5
2022-09-15 00:00:00+00:00,0,0,13,3
2022-09-17 00:00:00+00:00,1,1,0,0
2022-09-29 00:00:00+00:00,0,0,1,1
2022-10-06 00:00:00+00:00,0,0,9,1
2022-10-07 00:00:00+00:00,0,0,3,1
2022-10-08 00:00:00+00:00,0,0,21,3
2022-10-09 00:00:00+00:00,2,1,1,1
2022-10-10 00:00:00+00:00,0,0,2,1
2022-10-11 00:00:00+00:00,0,0,2,1
2022-10-12 00:00:00+00:00,0,0,18,4
2022-10-13 00:00:00+00:00,0,0,33,6
2022-10-14 00:00:00+00:00,0,0,1,1
