time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-11 00:00:00+00:00,0,0,1,1
2022-08-24 00:00:00+00:00,0,0,5,1
2022-08-29 00:00:00+00:00,0,0,1,1
2022-09-04 00:00:00+00:00,0,0,4,2
2022-09-05 00:00:00+00:00,0,0,14,1
2022-09-06 00:00:00+00:00,0,0,1,1
2022-09-07 00:00:00+00:00,0,0,3,1
2022-09-08 00:00:00+00:00,0,0,5,2
2022-09-09 00:00:00+00:00,0,0,1,1
2022-09-14 00:00:00+00:00,0,0,3,1
2022-09-16 00:00:00+00:00,0,0,36,3
2022-09-17 00:00:00+00:00,0,0,10,3
2022-09-19 00:00:00+00:00,0,0,12,2
2022-09-21 00:00:00+00:00,0,0,7,1
2022-09-24 00:00:00+00:00,0,0,1,1
2022-09-25 00:00:00+00:00,0,0,10,3
2022-09-26 00:00:00+00:00,0,0,31,2
2022-09-27 00:00:00+00:00,0,0,1,1
2022-09-28 00:00:00+00:00,0,0,2,1
2022-09-29 00:00:00+00:00,0,0,1,1
2022-09-30 00:00:00+00:00,0,0,4,2
2022-10-01 00:00:00+00:00,0,0,2,2
2022-10-03 00:00:00+00:00,0,0,2,1
2022-10-04 00:00:00+00:00,0,0,1,1
2022-10-05 00:00:00+00:00,0,0,1,1
2022-10-07 00:00:00+00:00,0,0,3,1
2022-10-08 00:00:00+00:00,0,0,5,2
2022-10-10 00:00:00+00:00,0,0,11,1
