time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-09 00:00:00+00:00,,,42.0,3.0
2022-07-10 00:00:00+00:00,,,145.0,3.0
2022-07-11 00:00:00+00:00,,,64.0,2.0
2022-07-12 00:00:00+00:00,,,71.0,7.0
2022-07-13 00:00:00+00:00,,,54.0,5.0
2022-07-14 00:00:00+00:00,,,99.0,5.0
2022-07-15 00:00:00+00:00,,,125.0,6.0
2022-07-16 00:00:00+00:00,,,103.0,5.0
2022-07-18 00:00:00+00:00,,,1.0,1.0
2022-07-19 00:00:00+00:00,,,1.0,1.0
2022-07-20 00:00:00+00:00,,,5.0,1.0
2022-07-22 00:00:00+00:00,1.0,1.0,,
